"row.id","col.id","PRIMARY_NAME_SF","LOCATION_ADDRESS_SF","CITY_NAME_SF","geometry.x","location_name_PFOA","location_PFOA","geometry.y"
"1",5,10,"EARECKSON AIR STATION USAF","SHEMYA ISLAND","ADAK",c(174.107672, 52.722466),"Earekson Air Station, Shemya Island, Aleutian Islands, Alaska","shemya island, aleutian islands, alaska",c(174.113615264899, 52.7139660495138)
"6701",5730,242,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"Chor Industries, Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.101294, 42.5393092)
"6702",5730,249,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"Color Coat Plating Company, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.1099807, 42.5124897)
"6703",5730,250,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"Controlled Power Company, Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.1268677, 42.5531332)
"6704",5730,251,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"Dana Container Tank Cleaning Division, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.072382, 42.396032)
"6705",5730,253,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"Depor Industries (Troy), Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.1627226, 42.5525354)
"6706",5730,261,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"Dynamic Metal Finishing, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0016226, 42.3931488)
"6707",5730,277,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"G2O Energy, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0147366, 42.4007308)
"6708",5730,284,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"Industrial Metal Coating, Sterling Heights, Macomb County, Michigan","sterling heights, macomb county, michigan",c(-83.04879, 42.593817)
"6709",5730,295,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"MacDermid Inc., Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1192114, 42.4567198)
"6710",5730,313,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"Plating Specialties, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.0877652, 42.4766468)
"6711",5730,322,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"Richcoat, Sterling Heights, Macomb County, Michigan","sterling heights, macomb county, michigan",c(-83.0555184, 42.5902147)
"6712",5730,332,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"Southeastern Oakland County Resource Recovery Authority, Rochester Hills, Oakland County, Michigan","rochester hills, oakland county, michigan",c(-83.0996847, 42.6610737)
"6713",5730,333,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"SprayTek, Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1275381, 42.4670894)
"6714",5730,336,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"US Ecology Michigan, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0326177, 42.393179)
"6715",5730,349,"ST ANNES DRIVE MERCURY RESPONSE","32471 ST ANNES DRIVE","WARREN",c(-83.044775, 42.532215),"Wolverine Plating Corporation, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9545247, 42.5110761)
"6716",5731,223,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"A-W Custom Chrome, East Pointe, Macomb County, Michigan","east pointe, macomb county, michigan",c(-82.9383497, 42.4648541)
"6717",5731,224,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"A.G. Simpson, Sterling Heights, Macomb County, Michigan","sterling heights, macomb county, michigan",c(-83.0399975, 42.5426982)
"6718",5731,228,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Aero Box, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9136805, 42.5218281)
"6719",5731,229,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Aevitas Specialty Services Corp., Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-82.966376, 42.365333)
"6720",5731,232,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Arted Chrome Plating, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0697558, 42.36635)
"6721",5731,236,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Beacon Park Finishing, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9600695, 42.5143165)
"6722",5731,242,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Chor Industries, Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.101294, 42.5393092)
"6723",5731,249,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Color Coat Plating Company, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.1099807, 42.5124897)
"6724",5731,250,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Controlled Power Company, Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.1268677, 42.5531332)
"6725",5731,251,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Dana Container Tank Cleaning Division, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.072382, 42.396032)
"6726",5731,253,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Depor Industries (Troy), Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.1627226, 42.5525354)
"6727",5731,254,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Detroit Chrome, Inc. dba DCI Aerotech, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1461328, 42.3952497)
"6728",5731,256,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Detroit Metropolitan Wayne County Airport, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0774466, 42.3695832)
"6729",5731,258,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Disposal and Recycling Technologies, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.156106, 42.3947373)
"6730",5731,259,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Domestic Uniform Rental, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0865494, 42.3405137)
"6731",5731,261,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Dynamic Metal Finishing, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0016226, 42.3931488)
"6732",5731,265,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"EQ Detroit dba US Ecology, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0472131, 42.3663746)
"6733",5731,277,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"G2O Energy, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0147366, 42.4007308)
"6734",5731,283,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Henry Ford Hospital, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0628493, 42.373759)
"6735",5731,284,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Industrial Metal Coating, Sterling Heights, Macomb County, Michigan","sterling heights, macomb county, michigan",c(-83.04879, 42.593817)
"6736",5731,295,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"MacDermid Inc., Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1192114, 42.4567198)
"6737",5731,313,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Plating Specialties, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.0877652, 42.4766468)
"6738",5731,322,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Richcoat, Sterling Heights, Macomb County, Michigan","sterling heights, macomb county, michigan",c(-83.0555184, 42.5902147)
"6739",5731,333,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"SprayTek, Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1275381, 42.4670894)
"6740",5731,336,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"US Ecology Michigan, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0326177, 42.393179)
"6741",5731,338,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Usher Oil Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1494259, 42.3611131)
"6742",5731,349,"SUPERIOR POLISHING CO","1949 E 10 MILE","WARREN",c(-83.08352, 42.47639),"Wolverine Plating Corporation, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9545247, 42.5110761)
"6743",5732,223,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"A-W Custom Chrome, East Pointe, Macomb County, Michigan","east pointe, macomb county, michigan",c(-82.9383497, 42.4648541)
"6744",5732,224,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"A.G. Simpson, Sterling Heights, Macomb County, Michigan","sterling heights, macomb county, michigan",c(-83.0399975, 42.5426982)
"6745",5732,228,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Aero Box, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9136805, 42.5218281)
"6746",5732,229,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Aevitas Specialty Services Corp., Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-82.966376, 42.365333)
"6747",5732,232,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Arted Chrome Plating, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0697558, 42.36635)
"6748",5732,236,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Beacon Park Finishing, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9600695, 42.5143165)
"6749",5732,242,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Chor Industries, Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.101294, 42.5393092)
"6750",5732,249,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Color Coat Plating Company, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.1099807, 42.5124897)
"6751",5732,250,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Controlled Power Company, Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.1268677, 42.5531332)
"6752",5732,251,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Dana Container Tank Cleaning Division, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.072382, 42.396032)
"6753",5732,253,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Depor Industries (Troy), Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.1627226, 42.5525354)
"6754",5732,254,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Detroit Chrome, Inc. dba DCI Aerotech, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1461328, 42.3952497)
"6755",5732,256,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Detroit Metropolitan Wayne County Airport, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0774466, 42.3695832)
"6756",5732,258,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Disposal and Recycling Technologies, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.156106, 42.3947373)
"6757",5732,261,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Dynamic Metal Finishing, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0016226, 42.3931488)
"6758",5732,265,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"EQ Detroit dba US Ecology, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0472131, 42.3663746)
"6759",5732,277,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"G2O Energy, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0147366, 42.4007308)
"6760",5732,283,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Henry Ford Hospital, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0628493, 42.373759)
"6761",5732,284,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Industrial Metal Coating, Sterling Heights, Macomb County, Michigan","sterling heights, macomb county, michigan",c(-83.04879, 42.593817)
"6762",5732,295,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"MacDermid Inc., Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1192114, 42.4567198)
"6763",5732,313,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Plating Specialties, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.0877652, 42.4766468)
"6764",5732,322,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Richcoat, Sterling Heights, Macomb County, Michigan","sterling heights, macomb county, michigan",c(-83.0555184, 42.5902147)
"6765",5732,333,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"SprayTek, Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1275381, 42.4670894)
"6766",5732,336,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"US Ecology Michigan, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0326177, 42.393179)
"6767",5732,349,"US ARMY DETROIT ARSENAL AND DETROIT TANK PLANT","6501 E 11 MILE RD","WARREN",c(-83.040084, 42.491714),"Wolverine Plating Corporation, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9545247, 42.5110761)
"6768",5735,267,"US DEPT OF DEFENSE DFSP ESCANABA","US HWY 41","WELLS TWP",c(-87.023333, 45.848333),"Escanaba Defense Fuel Supply Point, Escanaba, Michigan","escanaba, michigan",c(-87.0576519, 45.7917359)
"6769",5737,227,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"Advanced Resources Recovery, Inkster, Wayne County, Michigan","inkster, wayne county, michigan",c(-83.3065713, 42.2904961)
"6770",5737,243,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"Cintas Corporation, Westland, Wayne County, Michigan","westland, wayne county, michigan",c(-83.4278337, 42.3308111)
"6771",5737,245,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"City of Livonia - Type III Landfill, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.3625579, 42.3770858)
"6772",5737,255,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"Detroit Diesel Corporation, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2650822, 42.3766661)
"6773",5737,266,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"EQ Resource Recovery, Romulus, Wayne County, Michigan","romulus, wayne county, michigan",c(-83.3955806, 42.2658734)
"6774",5737,268,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"Ford Motor Company - Allen Park Clay Mine Landfill, Allen Park, Wayne County, Michigan","allen park, wayne county, michigan",c(-83.1986297, 42.2862107)
"6775",5737,281,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"GST AuthoLeather, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.3563145, 42.3800537)
"6776",5737,282,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"Hajjar Plating Services, Wayne, Wayne County, Michigan","wayne, wayne county, michigan",c(-83.4151964, 42.2665024)
"6777",5737,285,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"International Hardcoat, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2450805, 42.3786752)
"6778",5737,300,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"McGean-Rohco, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.423187, 42.380255)
"6779",5737,317,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"RACER Eckles Road, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.430548, 42.376163)
"6780",5737,320,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"Racer Trust Site (Former GM Livonia), Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.4303686, 42.3780005)
"6781",5737,337,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"US Ecology Romulus, Romulus, Wayne County, Michigan","romulus, wayne county, michigan",c(-83.3955806, 42.2658734)
"6782",5737,344,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"Waste Management of MI - Woodland Meadows North Landfill, Wayne, Wayne County, Michigan","wayne, wayne county, michigan",c(-83.4267992, 42.2716345)
"6783",5737,345,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"Waste Management of MI - Woodland Meadows RDF - Van Buren, Wayne, Wayne County, Michigan","wayne, wayne county, michigan",c(-83.4277086, 42.2643826)
"6784",5737,351,"HAMPSHIRE MERCURY SPILL","32914 HAMPSHIRE STREET","WESTLAND",c(-83.36545, 42.33074),"Z Technologies Corporation, Redford Township, Wayne County, Michigan","redford township, wayne county, michigan",c(-83.3030511, 42.3763488)
"6785",5738,227,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"Advanced Resources Recovery, Inkster, Wayne County, Michigan","inkster, wayne county, michigan",c(-83.3065713, 42.2904961)
"6786",5738,243,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"Cintas Corporation, Westland, Wayne County, Michigan","westland, wayne county, michigan",c(-83.4278337, 42.3308111)
"6787",5738,245,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"City of Livonia - Type III Landfill, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.3625579, 42.3770858)
"6788",5738,255,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"Detroit Diesel Corporation, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2650822, 42.3766661)
"6789",5738,266,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"EQ Resource Recovery, Romulus, Wayne County, Michigan","romulus, wayne county, michigan",c(-83.3955806, 42.2658734)
"6790",5738,281,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"GST AuthoLeather, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.3563145, 42.3800537)
"6791",5738,282,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"Hajjar Plating Services, Wayne, Wayne County, Michigan","wayne, wayne county, michigan",c(-83.4151964, 42.2665024)
"6792",5738,285,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"International Hardcoat, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2450805, 42.3786752)
"6793",5738,300,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"McGean-Rohco, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.423187, 42.380255)
"6794",5738,317,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"RACER Eckles Road, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.430548, 42.376163)
"6795",5738,320,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"Racer Trust Site (Former GM Livonia), Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.4303686, 42.3780005)
"6796",5738,337,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"US Ecology Romulus, Romulus, Wayne County, Michigan","romulus, wayne county, michigan",c(-83.3955806, 42.2658734)
"6797",5738,344,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"Waste Management of MI - Woodland Meadows North Landfill, Wayne, Wayne County, Michigan","wayne, wayne county, michigan",c(-83.4267992, 42.2716345)
"6798",5738,345,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"Waste Management of MI - Woodland Meadows RDF - Van Buren, Wayne, Wayne County, Michigan","wayne, wayne county, michigan",c(-83.4277086, 42.2643826)
"6799",5738,351,"NANKING TWP DUMP","INTERSECTION OF COWAN AND WARREN ROADS","WESTLAND",c(-83.40021, 42.33858),"Z Technologies Corporation, Redford Township, Wayne County, Michigan","redford township, wayne county, michigan",c(-83.3030511, 42.3763488)
"6800",5739,227,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"Advanced Resources Recovery, Inkster, Wayne County, Michigan","inkster, wayne county, michigan",c(-83.3065713, 42.2904961)
"6801",5739,243,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"Cintas Corporation, Westland, Wayne County, Michigan","westland, wayne county, michigan",c(-83.4278337, 42.3308111)
"6802",5739,245,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"City of Livonia - Type III Landfill, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.3625579, 42.3770858)
"6803",5739,255,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"Detroit Diesel Corporation, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2650822, 42.3766661)
"6804",5739,266,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"EQ Resource Recovery, Romulus, Wayne County, Michigan","romulus, wayne county, michigan",c(-83.3955806, 42.2658734)
"6805",5739,281,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"GST AuthoLeather, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.3563145, 42.3800537)
"6806",5739,282,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"Hajjar Plating Services, Wayne, Wayne County, Michigan","wayne, wayne county, michigan",c(-83.4151964, 42.2665024)
"6807",5739,285,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"International Hardcoat, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2450805, 42.3786752)
"6808",5739,300,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"McGean-Rohco, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.423187, 42.380255)
"6809",5739,317,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"RACER Eckles Road, Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.430548, 42.376163)
"6810",5739,320,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"Racer Trust Site (Former GM Livonia), Livonia, Wayne County, Michigan","livonia, wayne county, michigan",c(-83.4303686, 42.3780005)
"6811",5739,321,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"RACER Willow Run, Ypsilanti, Washtenaw County, Michigan","ypsilanti, washtenaw county, michigan",c(-83.574382, 42.2572607)
"6812",5739,337,"WESTLAND CITY HALL","36601 FORD RD","WESTLAND",c(-83.401727, 42.324194),"US Ecology Romulus, Romulus, Wayne County, Michigan","romulus, wayne county, michigan",c(-83.3955806, 42.2658734)
